Customer_ID,Age,Gender,City,Device_Type,Session_Duration,Pages_Viewed,Product_Category,Price,Discount,Purchase_History,Time_Spent_on_Product,Payment_Method,Cart_Value,Purchased
C00001,25,Male,Pune,Laptop,12,5,Fashion,4016,5,9,4,Debit Card,3815,No
C00002,45,Male,Bangalore,Mobile,11,5,Electronics,26390,10,9,15,UPI,23751,No
C00003,46,Female,Kolkata,Mobile,29,14,Fashion,3859,20,6,10,UPI,3087,Yes
C00004,31,Female,Bangalore,Mobile,17,3,Home,4317,25,5,3,Debit Card,3237,No
C00005,47,Male,Chennai,Mobile,22,6,Home,3075,30,2,3,Debit Card,2152,Yes
C00006,32,Female,Bangalore,Mobile,32,3,Beauty,1069,20,6,7,Credit Card,855,No
C00007,40,Male,Pune,Laptop,27,12,Electronics,27960,30,3,19,Debit Card,19572,Yes
C00008,33,Male,Chennai,Laptop,13,12,Fashion,3804,15,1,9,UPI,3233,Yes
C00009,38,Female,Delhi,Mobile,11,11,Home,3241,30,8,14,Debit Card,2268,Yes
C00010,47,Male,Delhi,Mobile,12,13,Home,5009,25,7,13,UPI,3756,Yes
C00011,26,Female,Bangalore,Mobile,32,3,Fashion,3570,10,7,4,Credit Card,3213,No
C00012,42,Female,Hyderabad,Laptop,22,15,Electronics,11753,30,9,10,Debit Card,8227,Yes
C00013,39,Male,Delhi,Laptop,10,9,Electronics,16630,25,3,18,UPI,12472,No
C00014,37,Male,Mumbai,Laptop,29,4,Electronics,27626,15,8,2,UPI,23482,No
C00015,41,Female,Mumbai,Mobile,12,11,Electronics,10806,30,8,4,Debit Card,7564,Yes
C00016,26,Male,Pune,Laptop,35,10,Fashion,2085,25,10,15,UPI,1563,Yes
C00017,52,Male,Pune,Laptop,17,12,Home,5088,25,8,5,UPI,3816,Yes
C00018,32,Male,Delhi,Mobile,23,10,Fashion,3410,10,1,4,Debit Card,3069,Yes
C00019,21,Male,Bangalore,Mobile,32,7,Electronics,24847,10,5,17,UPI,22362,Yes
C00020,52,Male,Pune,Tablet,23,9,Fashion,4213,20,7,8,UPI,3370,Yes
C00021,24,Female,Delhi,Laptop,18,9,Electronics,29412,30,2,3,Credit Card,20588,Yes
C00022,39,Male,Mumbai,Mobile,11,10,Beauty,787,20,3,10,Credit Card,629,Yes
C00023,33,Male,Chennai,Tablet,8,2,Electronics,11056,10,3,15,Credit Card,9950,No
C00024,48,Male,Kolkata,Laptop,33,2,Fashion,2552,5,7,10,Credit Card,2424,No
C00025,36,Female,Pune,Tablet,30,10,Beauty,817,10,5,8,UPI,735,Yes
C00026,55,Male,Pune,Laptop,6,2,Beauty,1529,25,3,3,Debit Card,1146,No
C00027,23,Male,Bangalore,Tablet,7,12,Fashion,2653,5,10,9,Debit Card,2520,No
C00028,20,Male,Chennai,Tablet,23,11,Home,3636,10,6,9,Credit Card,3272,Yes
C00029,43,Male,Pune,Tablet,14,9,Home,2094,5,8,20,UPI,1989,No
C00030,22,Male,Hyderabad,Laptop,9,7,Electronics,16004,15,5,7,Credit Card,13603,No
C00031,52,Female,Hyderabad,Tablet,21,2,Home,2348,10,5,5,UPI,2113,No
C00032,53,Male,Delhi,Laptop,24,5,Home,3167,30,5,18,Credit Card,2216,No
C00033,34,Male,Bangalore,Tablet,18,15,Home,1861,5,6,6,Debit Card,1767,No
C00034,34,Male,Pune,Laptop,22,13,Beauty,1648,5,2,4,Debit Card,1565,No
C00035,27,Male,Kolkata,Laptop,23,10,Fashion,2760,10,1,11,Credit Card,2484,Yes
C00036,20,Female,Mumbai,Tablet,12,12,Electronics,19589,25,7,6,UPI,14691,Yes
C00037,28,Male,Chennai,Mobile,10,13,Home,4872,30,4,10,UPI,3410,No
C00038,24,Female,Kolkata,Mobile,32,9,Fashion,1817,20,6,11,UPI,1453,Yes
C00039,32,Male,Pune,Mobile,17,7,Home,2068,15,6,18,Credit Card,1757,Yes
C00040,52,Female,Bangalore,Mobile,33,6,Fashion,3378,15,1,5,Debit Card,2871,Yes
C00041,45,Female,Pune,Laptop,18,11,Electronics,20622,25,4,10,UPI,15466,Yes
C00042,45,Male,Hyderabad,Tablet,26,13,Fashion,2491,20,2,12,Debit Card,1992,Yes
C00043,38,Male,Pune,Laptop,21,6,Beauty,1168,20,5,19,UPI,934,Yes
C00044,30,Female,Pune,Laptop,26,13,Fashion,3521,25,5,14,Debit Card,2640,Yes
C00045,18,Female,Delhi,Mobile,18,14,Home,5309,20,8,8,Debit Card,4247,Yes
C00046,48,Male,Pune,Mobile,14,10,Home,2265,10,5,9,UPI,2038,Yes
C00047,27,Male,Bangalore,Mobile,20,11,Electronics,22923,20,10,8,Debit Card,18338,Yes
C00048,42,Female,Chennai,Mobile,9,12,Electronics,11492,20,4,7,Debit Card,9193,No
C00049,51,Female,Bangalore,Tablet,12,15,Electronics,22957,10,8,18,Debit Card,20661,Yes
C00050,38,Female,Hyderabad,Tablet,33,10,Beauty,1622,20,3,17,Credit Card,1297,Yes
C00051,34,Male,Kolkata,Tablet,13,14,Beauty,1783,10,5,16,UPI,1604,Yes
C00052,36,Male,Delhi,Laptop,15,10,Electronics,12534,10,4,14,Debit Card,11280,Yes
C00053,27,Male,Bangalore,Laptop,18,7,Beauty,1351,5,4,15,Credit Card,1283,No
C00054,55,Male,Kolkata,Tablet,17,9,Electronics,19526,15,7,15,Debit Card,16597,Yes
C00055,52,Male,Chennai,Mobile,13,8,Beauty,559,20,6,14,Debit Card,447,Yes
C00056,28,Female,Mumbai,Tablet,22,2,Beauty,1712,25,1,4,Debit Card,1284,No
C00057,45,Male,Kolkata,Laptop,10,2,Home,4605,15,4,16,Credit Card,3914,No
C00058,39,Female,Delhi,Laptop,13,15,Electronics,23411,5,9,3,Credit Card,22240,No
C00059,32,Male,Kolkata,Tablet,6,14,Electronics,16102,10,1,6,UPI,14491,No
C00060,26,Female,Pune,Mobile,23,5,Beauty,1932,15,6,7,Debit Card,1642,No
C00061,25,Male,Delhi,Mobile,23,2,Home,4574,20,4,4,Debit Card,3659,No
C00062,33,Male,Pune,Laptop,32,12,Electronics,26544,5,6,19,Credit Card,25216,No
C00063,41,Male,Hyderabad,Tablet,15,2,Beauty,1503,5,7,13,Debit Card,1427,No
C00064,47,Male,Chennai,Mobile,28,10,Home,5908,20,8,15,Debit Card,4726,Yes
C00065,55,Female,Delhi,Mobile,31,3,Home,5192,10,8,20,Debit Card,4672,No
C00066,42,Female,Bangalore,Laptop,32,7,Fashion,2997,10,6,10,Credit Card,2697,Yes
C00067,35,Female,Hyderabad,Mobile,21,5,Electronics,15908,30,7,17,Debit Card,11135,No
C00068,33,Female,Pune,Tablet,20,9,Electronics,11049,15,4,14,Debit Card,9391,Yes
C00069,33,Female,Pune,Tablet,16,9,Home,4985,30,9,12,Credit Card,3489,Yes
C00070,47,Female,Delhi,Laptop,12,3,Fashion,2292,5,9,7,UPI,2177,No
C00071,31,Female,Delhi,Tablet,23,14,Home,2323,10,5,9,Credit Card,2090,Yes
C00072,29,Female,Bangalore,Tablet,22,4,Home,1872,5,9,11,Debit Card,1778,No
C00073,26,Female,Bangalore,Mobile,23,6,Beauty,1480,20,6,7,UPI,1184,Yes
C00074,34,Female,Bangalore,Mobile,17,9,Electronics,26907,30,1,6,UPI,18834,Yes
C00075,54,Female,Bangalore,Mobile,8,10,Beauty,1741,25,10,9,Debit Card,1305,No
C00076,42,Female,Chennai,Laptop,32,11,Beauty,1125,25,10,3,Debit Card,843,Yes
C00077,24,Male,Pune,Mobile,13,12,Electronics,13146,10,3,19,UPI,11831,Yes
C00078,28,Male,Chennai,Laptop,27,11,Beauty,1096,5,4,11,Debit Card,1041,No
C00079,36,Female,Bangalore,Tablet,12,6,Fashion,2741,5,9,9,Debit Card,2603,No
C00080,27,Female,Kolkata,Mobile,7,2,Fashion,4246,15,10,20,Credit Card,3609,No
C00081,46,Male,Chennai,Tablet,14,13,Beauty,1057,25,9,17,Credit Card,792,Yes
C00082,23,Male,Chennai,Tablet,15,11,Home,1711,5,4,20,Debit Card,1625,No
C00083,19,Female,Hyderabad,Mobile,29,14,Fashion,2927,25,8,10,UPI,2195,Yes
C00084,55,Female,Pune,Laptop,7,9,Home,4845,15,6,5,UPI,4118,No
C00085,39,Female,Pune,Laptop,14,12,Beauty,1626,5,8,4,Credit Card,1544,No
C00086,34,Female,Bangalore,Laptop,32,10,Electronics,29550,25,8,15,UPI,22162,Yes
C00087,30,Female,Hyderabad,Laptop,25,9,Electronics,14670,15,9,6,Credit Card,12469,Yes
C00088,46,Female,Bangalore,Mobile,25,11,Fashion,3907,10,5,19,UPI,3516,Yes
C00089,53,Female,Bangalore,Mobile,31,3,Beauty,740,30,3,17,Debit Card,518,No
C00090,36,Female,Chennai,Laptop,20,5,Beauty,1628,10,7,8,Debit Card,1465,No
C00091,50,Male,Kolkata,Mobile,13,14,Beauty,1196,25,5,2,Credit Card,897,Yes
C00092,37,Female,Kolkata,Mobile,19,10,Beauty,1206,15,9,19,Credit Card,1025,Yes
C00093,47,Female,Kolkata,Mobile,27,5,Beauty,978,20,1,12,Debit Card,782,No
C00094,48,Female,Chennai,Tablet,30,15,Fashion,3028,5,3,18,Debit Card,2876,No
C00095,39,Male,Kolkata,Laptop,8,10,Beauty,531,30,3,15,Debit Card,371,No
C00096,27,Male,Chennai,Laptop,15,11,Beauty,1830,5,6,19,Credit Card,1738,No
C00097,38,Female,Kolkata,Tablet,6,11,Electronics,15692,30,5,9,Debit Card,10984,No
C00098,23,Female,Bangalore,Tablet,27,15,Electronics,22538,10,5,2,UPI,20284,Yes
C00099,38,Male,Delhi,Laptop,16,8,Fashion,2000,25,7,20,Debit Card,1500,Yes
C00100,29,Male,Mumbai,Mobile,24,15,Beauty,1769,30,4,17,Debit Card,1238,Yes
C00101,27,Male,Chennai,Tablet,13,9,Home,1576,20,5,19,UPI,1260,Yes
C00102,22,Female,Delhi,Tablet,14,12,Beauty,1913,15,8,11,UPI,1626,Yes
C00103,42,Female,Bangalore,Mobile,17,11,Home,3923,30,5,2,Debit Card,2746,Yes
C00104,43,Female,Bangalore,Tablet,32,12,Electronics,27870,30,8,11,UPI,19509,Yes
C00105,40,Male,Pune,Mobile,24,6,Fashion,3573,5,1,11,Credit Card,3394,No
C00106,20,Female,Pune,Mobile,7,6,Home,4903,10,4,6,Debit Card,4412,No
C00107,41,Female,Kolkata,Mobile,13,15,Beauty,1104,30,6,5,Credit Card,772,Yes
C00108,22,Male,Kolkata,Mobile,32,12,Beauty,1641,15,2,14,UPI,1394,Yes
C00109,34,Male,Chennai,Laptop,26,13,Home,4621,30,6,5,Debit Card,3234,Yes
C00110,32,Female,Bangalore,Tablet,33,10,Home,3313,30,2,16,Debit Card,2319,Yes
C00111,37,Female,Bangalore,Mobile,6,2,Home,5535,5,2,9,Debit Card,5258,No
C00112,26,Female,Chennai,Laptop,26,13,Beauty,1702,30,3,15,Debit Card,1191,Yes
C00113,24,Female,Hyderabad,Laptop,35,6,Electronics,20141,10,8,16,UPI,18126,Yes
C00114,41,Male,Pune,Laptop,22,12,Home,1996,20,5,8,UPI,1596,Yes
C00115,47,Male,Pune,Mobile,25,12,Electronics,9657,15,4,6,Debit Card,8208,Yes
C00116,31,Male,Kolkata,Tablet,11,11,Fashion,4330,10,6,6,Debit Card,3897,Yes
C00117,18,Female,Kolkata,Mobile,9,10,Home,2929,5,1,6,UPI,2782,No
C00118,40,Male,Hyderabad,Laptop,5,4,Home,1929,10,7,18,UPI,1736,No
C00119,22,Female,Chennai,Laptop,21,11,Electronics,22811,25,4,3,Debit Card,17108,Yes
C00120,51,Female,Chennai,Tablet,35,2,Electronics,23695,20,7,5,Credit Card,18956,No
C00121,46,Male,Bangalore,Laptop,24,4,Electronics,12135,15,10,20,Debit Card,10314,No
C00122,38,Female,Hyderabad,Tablet,14,9,Beauty,703,30,2,19,Debit Card,492,Yes
C00123,31,Female,Chennai,Mobile,18,7,Beauty,1316,20,2,12,Credit Card,1052,Yes
C00124,38,Female,Delhi,Mobile,26,9,Electronics,10989,5,2,15,UPI,10439,No
C00125,41,Male,Hyderabad,Mobile,23,10,Home,2501,20,6,15,Debit Card,2000,Yes
C00126,21,Female,Hyderabad,Laptop,16,3,Fashion,1633,30,8,9,UPI,1143,No
C00127,40,Female,Bangalore,Laptop,23,5,Beauty,1648,25,10,19,UPI,1236,No
C00128,35,Male,Mumbai,Laptop,27,14,Home,4283,15,1,7,UPI,3640,Yes
C00129,54,Female,Bangalore,Mobile,28,12,Electronics,11006,30,9,8,Credit Card,7704,Yes
C00130,44,Female,Delhi,Mobile,16,6,Home,2195,5,3,7,Debit Card,2085,No
C00131,21,Male,Delhi,Laptop,26,8,Beauty,1743,20,7,10,UPI,1394,Yes
C00132,50,Male,Delhi,Laptop,8,6,Beauty,1579,30,5,3,UPI,1105,No
C00133,43,Male,Bangalore,Mobile,14,5,Fashion,4130,15,5,12,UPI,3510,No
C00134,18,Female,Pune,Laptop,10,4,Beauty,1590,30,4,18,Debit Card,1113,No
C00135,40,Male,Chennai,Tablet,6,8,Electronics,23065,5,6,20,Credit Card,21911,No
C00136,54,Female,Pune,Tablet,18,6,Electronics,21272,5,6,7,Debit Card,20208,No
C00137,47,Female,Bangalore,Laptop,32,3,Fashion,2784,25,7,18,UPI,2088,No
C00138,43,Female,Pune,Laptop,12,7,Fashion,1312,25,2,18,Debit Card,984,Yes
C00139,30,Female,Delhi,Tablet,35,15,Fashion,1967,5,3,10,UPI,1868,No
C00140,29,Male,Kolkata,Tablet,7,4,Beauty,1450,25,10,16,Debit Card,1087,No
C00141,54,Female,Kolkata,Tablet,15,4,Beauty,639,20,8,11,Credit Card,511,No
C00142,55,Male,Delhi,Tablet,7,6,Beauty,1425,5,1,13,Credit Card,1353,No
C00143,22,Male,Hyderabad,Tablet,21,8,Beauty,1688,25,1,16,Debit Card,1266,Yes
C00144,30,Female,Hyderabad,Laptop,21,4,Electronics,22762,5,6,4,Debit Card,21623,No
C00145,29,Male,Mumbai,Tablet,19,9,Fashion,2490,15,5,14,Credit Card,2116,Yes
C00146,39,Male,Kolkata,Tablet,25,7,Electronics,18803,5,9,14,Credit Card,17862,No
C00147,34,Male,Delhi,Mobile,23,12,Fashion,4754,15,5,14,UPI,4040,Yes
C00148,23,Female,Hyderabad,Laptop,25,14,Home,2546,30,9,4,Debit Card,1782,Yes
C00149,45,Female,Bangalore,Laptop,14,4,Fashion,2399,20,4,9,UPI,1919,No
C00150,27,Male,Delhi,Mobile,21,14,Electronics,29690,15,10,6,Debit Card,25236,Yes
C00151,42,Male,Mumbai,Mobile,31,13,Fashion,3953,20,1,15,Credit Card,3162,Yes
C00152,33,Female,Hyderabad,Laptop,29,13,Beauty,979,25,4,11,Credit Card,734,Yes
C00153,30,Female,Pune,Tablet,19,9,Home,4628,25,9,15,UPI,3471,Yes
C00154,30,Male,Kolkata,Laptop,6,12,Beauty,1260,25,2,18,UPI,945,No
C00155,36,Male,Kolkata,Mobile,13,9,Fashion,4403,20,2,9,Credit Card,3522,Yes
C00156,40,Male,Chennai,Mobile,17,10,Home,3431,20,2,13,UPI,2744,Yes
C00157,19,Female,Bangalore,Tablet,25,7,Fashion,1563,5,5,17,Debit Card,1484,No
C00158,26,Female,Chennai,Tablet,5,3,Electronics,16386,10,3,19,Debit Card,14747,No
C00159,51,Female,Bangalore,Laptop,12,6,Electronics,9564,10,7,16,UPI,8607,Yes
C00160,25,Female,Hyderabad,Tablet,5,12,Fashion,3943,10,5,15,UPI,3548,No
C00161,40,Male,Hyderabad,Laptop,10,12,Electronics,25153,15,2,18,Debit Card,21380,No
C00162,50,Male,Chennai,Laptop,6,12,Beauty,1264,15,1,13,UPI,1074,No
C00163,40,Male,Pune,Tablet,25,3,Home,2592,5,6,19,Credit Card,2462,No
C00164,29,Female,Pune,Laptop,25,4,Fashion,1258,30,8,3,Credit Card,880,No
C00165,30,Male,Kolkata,Mobile,33,2,Home,4040,25,7,19,Credit Card,3030,No
C00166,34,Male,Kolkata,Tablet,11,6,Home,1891,30,6,10,UPI,1323,Yes
C00167,41,Female,Chennai,Tablet,19,8,Home,3030,20,8,13,Debit Card,2424,Yes
C00168,35,Male,Pune,Laptop,7,8,Fashion,3234,15,6,5,UPI,2748,No
C00169,38,Female,Delhi,Laptop,24,13,Beauty,841,30,8,13,Credit Card,588,Yes
C00170,20,Female,Hyderabad,Laptop,13,12,Electronics,10458,30,7,13,Debit Card,7320,Yes
C00171,28,Male,Mumbai,Tablet,26,14,Beauty,571,10,2,9,Debit Card,513,Yes
C00172,41,Female,Chennai,Tablet,6,11,Fashion,3781,20,6,13,Credit Card,3024,No
C00173,22,Male,Hyderabad,Laptop,17,7,Home,3544,5,1,7,Credit Card,3366,No
C00174,51,Female,Hyderabad,Mobile,13,14,Home,5155,10,10,11,Debit Card,4639,Yes
C00175,49,Male,Bangalore,Mobile,32,3,Beauty,853,30,8,4,Debit Card,597,No
C00176,38,Female,Pune,Mobile,22,10,Home,3957,10,3,13,Debit Card,3561,Yes
C00177,32,Male,Mumbai,Mobile,12,14,Beauty,553,15,9,20,Credit Card,470,Yes
C00178,47,Male,Hyderabad,Mobile,7,6,Beauty,1968,30,8,18,Credit Card,1377,No
C00179,44,Male,Mumbai,Laptop,25,3,Beauty,1454,30,9,13,UPI,1017,No
C00180,53,Male,Kolkata,Mobile,18,10,Electronics,12068,25,3,11,UPI,9051,Yes
C00181,28,Female,Pune,Mobile,16,10,Home,2146,15,4,19,Credit Card,1824,Yes
C00182,26,Female,Hyderabad,Tablet,7,10,Fashion,3424,25,3,7,Debit Card,2568,No
C00183,39,Male,Kolkata,Mobile,7,2,Home,3226,25,7,2,Credit Card,2419,No
C00184,52,Female,Pune,Laptop,20,5,Beauty,1109,20,2,3,UPI,887,No
